series_name,p,nobs_train,innovation_variance,aic,bic
logistic_noise_moderate,51,6600,0.992303182227,53.0044984334,406.33539469
logistic_noise_moderate,52,6600,0.992051215203,53.3284043126,413.454125497
logistic_noise_moderate,53,6600,0.991774126763,53.4847100314,420.405256144
logistic_noise_moderate,54,6600,0.991593934159,54.2854659663,428.000837007
logistic_noise_moderate,55,6600,0.991593821888,56.2847186978,436.794914667
logistic_noise_moderate,56,6600,0.991456647992,57.3716327905,444.676653687
logistic_noise_moderate,57,6600,0.991456583161,59.3712012196,453.471047044
logistic_noise_moderate,58,6600,0.991009381712,58.3935666344,459.288237387
logistic_noise_moderate,59,6600,0.991006498651,60.3743657743,468.063861455
logistic_noise_moderate,60,6600,0.991002398954,62.3470621638,476.831382773
logistic_noise_moderate,61,6600,0.990953832268,64.0236038351,485.302749372
logistic_noise_moderate,62,6600,0.990890626641,65.6026251448,493.67659561
logistic_noise_moderate,63,6600,0.990890104315,67.5991461048,502.467941498
logistic_noise_moderate,64,6600,0.990736736027,68.5775302414,510.241150562
logistic_noise_moderate,65,6600,0.990669353457,70.1286318913,518.58707714
logistic_noise_moderate,66,6600,0.990632999332,71.8864303688,527.139700546
logistic_noise_moderate,67,6600,0.990632993987,73.8863947578,535.934489863
logistic_noise_moderate,68,6600,0.990603392124,75.6891721594,544.532092192
logistic_noise_moderate,69,6600,0.990600965575,77.6730049982,553.310749959
logistic_noise_moderate,70,6600,0.990544842795,79.2990695262,561.731639415
logistic_noise_moderate,71,6600,0.99053411596,81.2275962381,570.454991055
logistic_noise_moderate,72,6600,0.990530713338,83.2049242862,579.227144031
logistic_noise_moderate,73,6600,0.990132194526,82.5490213692,585.366066042
logistic_noise_moderate,74,6600,0.990123589133,84.4916594951,594.103529096
logistic_noise_moderate,75,6600,0.990116309189,86.4431324144,602.849826944
logistic_noise_moderate,76,6600,0.990094540111,88.2980206831,611.49954014
logistic_noise_moderate,77,6600,0.990056306972,90.0431525075,620.039496893
logistic_noise_moderate,78,6600,0.98998919492,91.5957491079,628.386918421
logistic_noise_moderate,79,6600,0.989751780764,92.012780978,635.598775219
logistic_noise_moderate,80,6600,0.989723644967,93.8251592902,644.205978459
logistic_noise_moderate,81,6600,0.98971074711,95.739149002,652.914793099
logistic_noise_moderate,82,6600,0.989662829832,97.4195993867,661.390068412
logistic_noise_moderate,83,6600,0.989364448425,97.4294122675,668.194706221
logistic_noise_moderate,84,6600,0.989264122499,98.7601091707,676.320228052
logistic_noise_moderate,85,6600,0.989030470012,99.2010831026,683.556026912
logistic_noise_moderate,86,6600,0.988986192331,100.905602582,692.05537132
logistic_noise_moderate,87,6600,0.988924416531,102.493328862,700.437922527
logistic_noise_moderate,88,6600,0.988709873706,103.061332403,707.800750997
logistic_noise_moderate,89,6600,0.988707311957,105.044231775,716.578475296
logistic_noise_moderate,90,6600,0.987480930259,98.8525827436,717.181651193
logistic_noise_moderate,91,6600,0.987420359595,100.447735793,725.571629171
logistic_noise_moderate,92,6600,0.987152174372,100.654919927,732.573638232
logistic_noise_moderate,93,6600,0.987146234824,102.615208593,741.328751826
logistic_noise_moderate,94,6600,0.986925446223,103.138864256,748.647232417
logistic_noise_moderate,95,6600,0.986839978393,104.567278929,756.870472019
logistic_noise_moderate,96,6600,0.986839186372,106.561981879,765.659999896
logistic_noise_moderate,97,6600,0.986822856181,108.45276433,774.345607276
logistic_noise_moderate,98,6600,0.986202002291,106.299105759,778.986773632
logistic_noise_moderate,99,6600,0.985890367601,106.213210591,785.695703392
logistic_noise_moderate,100,6600,0.985789807044,107.539978003,793.817295732
