series,window,start_time,end_time,n_window,embedding_dim_m,epsilon_multiplier,epsilon,bds_statistic,p_value,reject_5pct,decision_5pct,correlation_sum_1,correlation_sum_m,variance
ar_residual,high_volatility,2025-10-05 16:45:00,2025-10-16 02:40:00,3000,3,0.5,0.5,1.90441573115,0.0568560620261,False,no rechaza H0,0.441022666667,0.0892324925534,0.00985684736225
ar_residual,high_volatility,2025-10-05 16:45:00,2025-10-16 02:40:00,3000,3,1,1,1.85110501284,0.0641544470809,False,no rechaza H0,0.685322888889,0.327976267033,0.0325815385307
ar_residual,high_volatility,2025-10-05 16:45:00,2025-10-16 02:40:00,3000,3,1.5,1.5,2.48417153284,0.0129853241675,True,rechaza H0,0.819294888889,0.557396503161,0.026961120718
ar_residual,high_volatility,2025-10-05 16:45:00,2025-10-16 02:40:00,3000,4,0.5,0.5,2.2642773671,0.0235570607134,True,rechaza H0,0.441022666667,0.0409495247667,0.00568626688565
ar_residual,high_volatility,2025-10-05 16:45:00,2025-10-16 02:40:00,3000,4,1,1,2.12525806252,0.0335650855553,True,rechaza H0,0.685322888889,0.228737802423,0.0440766107987
ar_residual,high_volatility,2025-10-05 16:45:00,2025-10-16 02:40:00,3000,4,1.5,1.5,2.61134345344,0.00901872681942,True,rechaza H0,0.819294888889,0.461387981241,0.0514468315965
ar_residual,quiet,2025-07-29 02:45:00,2025-08-08 12:40:00,3000,2,0.5,0.5,1.92135013964,0.0546875799574,False,no rechaza H0,0.433916888889,0.191639849718,0.00914961886467
ar_residual,quiet,2025-07-29 02:45:00,2025-08-08 12:40:00,3000,2,1,1,1.85439877196,0.0636821303786,False,no rechaza H0,0.679851777778,0.466227321967,0.0141559606431
ar_residual,quiet,2025-07-29 02:45:00,2025-08-08 12:40:00,3000,2,1.5,1.5,1.73303569229,0.0830893250564,False,no rechaza H0,0.808038222222,0.655951783861,0.00914331511112
ar_residual,quiet,2025-07-29 02:45:00,2025-08-08 12:40:00,3000,3,0.5,0.5,1.75526026783,0.0792147993125,False,no rechaza H0,0.433916888889,0.084749405986,0.00905122525749
ar_residual,quiet,2025-07-29 02:45:00,2025-08-08 12:40:00,3000,3,1,1,1.67327409244,0.0942733502145,False,no rechaza H0,0.679851777778,0.319824512762,0.0335564443892
ar_residual,quiet,2025-07-29 02:45:00,2025-08-08 12:40:00,3000,3,1.5,1.5,1.58663014748,0.112596435318,False,no rechaza H0,0.808038222222,0.532631939194,0.0302866752513
ar_residual,quiet,2025-07-29 02:45:00,2025-08-08 12:40:00,3000,4,0.5,0.5,2.20057456464,0.0277661558894,True,rechaza H0,0.433916888889,0.0383091355175,0.00505634396871
ar_residual,quiet,2025-07-29 02:45:00,2025-08-08 12:40:00,3000,4,1,1,1.9570941865,0.0503363958088,False,no rechaza H0,0.679851777778,0.221187598454,0.0447228986993
ar_residual,quiet,2025-07-29 02:45:00,2025-08-08 12:40:00,3000,4,1.5,1.5,1.59157448944,0.111480345887,False,no rechaza H0,0.808038222222,0.433210543432,0.0563041164518
